i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
260,11.0,0.076745,0.715900,0.573195,1.129109,0.511683,AUT,19070217.723645,0.002192,0.002166,0.002168,0.070207,0.001117,neutron,pi+,solid
261,11.0,0.092874,0.657195,0.573691,1.259259,0.502498,AUT,19043484.226996,0.002180,0.002179,0.002185,0.070207,0.001145,neutron,pi+,solid
262,11.0,0.106677,0.632583,0.573897,1.392387,0.498072,AUT,19252923.756148,0.002239,0.002235,0.002235,0.070207,0.001171,neutron,pi+,solid
263,11.0,0.121557,0.610354,0.573968,1.530860,0.495307,AUT,19432199.194193,0.002391,0.002329,0.002325,0.070207,0.001200,neutron,pi+,solid
264,11.0,0.139385,0.571430,0.574154,1.642167,0.492025,AUT,18974636.786883,0.002791,0.002581,0.002575,0.070207,0.001236,neutron,pi+,solid
265,11.0,0.170502,0.487797,0.574251,1.707084,0.489537,AUT,19015435.739676,0.004596,0.003592,0.003587,0.070207,0.001299,neutron,pi+,solid
266,11.0,0.225724,0.386167,0.573438,1.790257,0.484778,AUT,7754735.814307,0.005673,0.006030,0.006029,0.070207,0.001412,neutron,pi+,solid
267,11.0,0.072749,0.752506,0.573899,1.124411,0.696008,AUT,18737682.569353,0.002152,0.002143,0.002148,0.070207,0.001110,neutron,pi+,solid
268,11.0,0.091289,0.681966,0.574332,1.284140,0.690170,AUT,19205233.119167,0.002334,0.002251,0.002252,0.070207,0.001143,neutron,pi+,solid
269,11.0,0.111430,0.648261,0.574418,1.489546,0.688213,AUT,19128587.138556,0.002650,0.002444,0.002441,0.070207,0.001180,neutron,pi+,solid
270,11.0,0.142354,0.567591,0.574572,1.655639,0.687023,AUT,19096531.604895,0.003520,0.002991,0.002992,0.070207,0.001242,neutron,pi+,solid
271,11.0,0.194504,0.439226,0.573549,1.754758,0.680265,AUT,6309902.346501,0.005456,0.006154,0.006156,0.070207,0.001349,neutron,pi+,solid
272,11.0,0.078553,0.741384,0.574655,1.192637,0.886956,AUT,19093524.303537,0.002263,0.002195,0.002196,0.070207,0.001120,neutron,pi+,solid
273,11.0,0.125239,0.610665,0.574514,1.554102,0.884325,AUT,18885085.823515,0.002479,0.002435,0.002442,0.070207,0.001207,neutron,pi+,solid
274,11.0,0.191549,0.468302,0.571538,1.849634,0.859310,AUT,708534.604254,0.013586,0.017152,0.017056,0.070207,0.001344,neutron,pi+,solid
275,11.0,0.096028,0.705164,0.575841,1.361848,1.100703,AUT,13457870.742541,0.002616,0.002620,0.002616,0.070207,0.001152,neutron,pi+,solid
276,11.0,0.149166,0.500980,0.623580,1.527832,0.135087,AUT,19340604.875060,0.002387,0.002389,0.002384,0.070207,0.001262,neutron,pi+,solid
277,11.0,0.214652,0.401176,0.623456,1.761965,0.127310,AUT,13235944.079274,0.003207,0.003207,0.003207,0.070207,0.001401,neutron,pi+,solid
278,11.0,0.099549,0.610786,0.623253,1.250534,0.323603,AUT,18879010.352739,0.002373,0.002308,0.002305,0.070207,0.001162,neutron,pi+,solid
279,11.0,0.129058,0.564490,0.623608,1.501880,0.311443,AUT,19142231.496059,0.002325,0.002320,0.002327,0.070207,0.001222,neutron,pi+,solid
280,11.0,0.155369,0.511573,0.623785,1.637671,0.302102,AUT,19209729.878008,0.002569,0.002499,0.002502,0.070207,0.001277,neutron,pi+,solid
281,11.0,0.197107,0.430470,0.624037,1.738976,0.292634,AUT,18908244.929888,0.003289,0.002962,0.002963,0.070207,0.001365,neutron,pi+,solid
282,11.0,0.252080,0.353908,0.620857,1.839219,0.284267,AUT,3601415.287089,0.006501,0.006696,0.006716,0.070207,0.001480,neutron,pi+,solid
283,11.0,0.081549,0.689628,0.623327,1.155446,0.511737,AUT,18862032.610996,0.002238,0.002203,0.002203,0.070207,0.001129,neutron,pi+,solid
284,11.0,0.101883,0.635360,0.623715,1.335223,0.502436,AUT,18913898.233160,0.002235,0.002228,0.002234,0.070207,0.001167,neutron,pi+,solid
285,11.0,0.120710,0.605436,0.623964,1.507582,0.497063,AUT,19218222.264052,0.002341,0.002321,0.002318,0.070207,0.001205,neutron,pi+,solid
286,11.0,0.143597,0.556642,0.624196,1.646590,0.492724,AUT,18906981.362965,0.002812,0.002608,0.002611,0.070207,0.001253,neutron,pi+,solid
287,11.0,0.188806,0.451268,0.623685,1.739228,0.487345,AUT,16340549.308506,0.005099,0.004095,0.004089,0.070207,0.001347,neutron,pi+,solid
288,11.0,0.076200,0.731952,0.623873,1.144334,0.697863,AUT,19005143.347003,0.002142,0.002138,0.002141,0.070207,0.001120,neutron,pi+,solid
289,11.0,0.098704,0.662562,0.624256,1.348533,0.691743,AUT,19108487.816354,0.002365,0.002291,0.002293,0.070207,0.001162,neutron,pi+,solid
290,11.0,0.125364,0.615472,0.624465,1.588340,0.689045,AUT,19074026.697858,0.002881,0.002597,0.002599,0.070207,0.001216,neutron,pi+,solid
291,11.0,0.168349,0.498151,0.623768,1.716011,0.682939,AUT,10826832.184272,0.005968,0.004929,0.004940,0.070207,0.001305,neutron,pi+,solid
292,11.0,0.081260,0.728587,0.624484,1.211696,0.889035,AUT,19046498.513992,0.002327,0.002237,0.002236,0.070207,0.001129,neutron,pi+,solid
293,11.0,0.127502,0.612174,0.624231,1.590861,0.882506,AUT,14969234.750170,0.003287,0.003013,0.003018,0.070207,0.001219,neutron,pi+,solid
294,11.0,0.092412,0.716795,0.624926,1.339657,1.111487,AUT,15009163.489744,0.002497,0.002489,0.002484,0.070207,0.001150,neutron,pi+,solid
295,11.0,0.162565,0.478634,0.673695,1.582564,0.132995,AUT,18990512.755387,0.002483,0.002484,0.002481,0.070207,0.001301,neutron,pi+,solid
296,11.0,0.227847,0.385465,0.671686,1.809382,0.123907,AUT,3677910.069715,0.006328,0.006301,0.006297,0.070207,0.001446,neutron,pi+,solid
297,11.0,0.107856,0.592978,0.673291,1.313913,0.320859,AUT,19058221.122740,0.002351,0.002306,0.002309,0.070207,0.001185,neutron,pi+,solid
298,11.0,0.146358,0.527435,0.673702,1.588862,0.306355,AUT,19254552.592604,0.002435,0.002425,0.002423,0.070207,0.001268,neutron,pi+,solid
299,11.0,0.194054,0.438726,0.672992,1.742754,0.292464,AUT,17447749.242278,0.003225,0.002984,0.002983,0.070207,0.001372,neutron,pi+,solid
300,11.0,0.087299,0.666025,0.673357,1.194261,0.510619,AUT,19216275.333760,0.002237,0.002210,0.002208,0.070207,0.001145,neutron,pi+,solid
301,11.0,0.114062,0.610585,0.673742,1.435926,0.501049,AUT,19245472.362140,0.002281,0.002277,0.002276,0.070207,0.001199,neutron,pi+,solid
302,11.0,0.142118,0.556543,0.673972,1.628108,0.494715,AUT,18953919.452877,0.002685,0.002545,0.002547,0.070207,0.001260,neutron,pi+,solid
303,11.0,0.183390,0.464632,0.672859,1.748798,0.485497,AUT,10335539.769701,0.006744,0.005198,0.005201,0.070207,0.001349,neutron,pi+,solid
304,11.0,0.080202,0.711703,0.673900,1.170062,0.699231,AUT,18883153.790190,0.002168,0.002167,0.002169,0.070207,0.001132,neutron,pi+,solid
305,11.0,0.108426,0.642234,0.674145,1.435096,0.692351,AUT,19178088.451697,0.002420,0.002342,0.002342,0.070207,0.001188,neutron,pi+,solid
306,11.0,0.147096,0.559958,0.673562,1.684000,0.684921,AUT,15663533.197728,0.003917,0.003298,0.003309,0.070207,0.001270,neutron,pi+,solid
