i,Ebeam,x,y,z,Q2,pT,obs,Nacc,stat_sivers,stat_collins,stat_pretzelosity,systrel,systabs,target,hadron,Experiment
544,11.0,0.368072,0.458316,0.374026,3.480447,0.107414,AUT,722777.271793,0.016668,0.016448,0.016457,0.070207,0.001640,neutron,pi+,solid
545,11.0,0.410662,0.423024,0.373786,3.582554,0.126345,AUT,683342.689928,0.023006,0.020271,0.020365,0.070207,0.001728,neutron,pi+,solid
546,11.0,0.244480,0.657124,0.374128,3.315034,0.287818,AUT,590780.685209,0.015383,0.015389,0.015386,0.070207,0.001416,neutron,pi+,solid
547,11.0,0.268031,0.653153,0.374170,3.613719,0.287751,AUT,537200.308881,0.017477,0.016990,0.017033,0.070207,0.001460,neutron,pi+,solid
548,11.0,0.284796,0.648098,0.374020,3.809543,0.288018,AUT,497194.908011,0.019903,0.018700,0.018666,0.070207,0.001490,neutron,pi+,solid
549,11.0,0.302351,0.622548,0.374219,3.884164,0.284262,AUT,248057.937687,0.034098,0.029765,0.029676,0.070207,0.001522,neutron,pi+,solid
550,11.0,0.324782,0.568646,0.376071,3.807752,0.270936,AUT,44182.523612,0.078499,0.070428,0.069849,0.070207,0.001562,neutron,pi+,solid
551,11.0,0.358599,0.446116,0.379998,3.300790,0.216593,AUT,32149.262846,0.168752,0.121606,0.122575,0.070207,0.001624,neutron,pi+,solid
552,11.0,0.388163,0.422427,0.377864,3.383300,0.222833,AUT,76732.601056,0.203679,0.126797,0.129512,0.070207,0.001681,neutron,pi+,solid
553,11.0,0.427117,0.408735,0.377025,3.603641,0.231541,AUT,112778.538347,0.191614,0.118660,0.118561,0.070207,0.001767,neutron,pi+,solid
554,11.0,0.258732,0.645246,0.373379,3.442619,0.497371,AUT,636244.463719,0.029043,0.023166,0.023118,0.070207,0.001442,neutron,pi+,solid
555,11.0,0.297023,0.588253,0.372573,3.598531,0.509322,AUT,493780.365665,0.024398,0.023145,0.022969,0.070207,0.001511,neutron,pi+,solid
556,11.0,0.349051,0.468992,0.370643,3.371818,0.540995,AUT,312731.381336,0.025868,0.045031,0.044950,0.070207,0.001603,neutron,pi+,solid
557,11.0,0.406983,0.414961,0.370272,3.483373,0.543741,AUT,215214.668939,0.049142,0.072782,0.072642,0.070207,0.001718,neutron,pi+,solid
558,11.0,0.284136,0.588022,0.375280,3.420403,0.674316,AUT,710404.171436,0.014969,0.017933,0.017939,0.070207,0.001486,neutron,pi+,solid
559,11.0,0.376909,0.457198,0.376711,3.548331,0.652717,AUT,230061.345204,0.036050,0.052484,0.052631,0.070207,0.001659,neutron,pi+,solid
560,11.0,0.281431,0.612815,0.376476,3.532356,0.872428,AUT,131881.280993,0.058920,0.046676,0.047111,0.070207,0.001482,neutron,pi+,solid
561,11.0,0.260672,0.609355,0.423678,3.274035,0.119772,AUT,897046.529868,0.012848,0.012812,0.012863,0.070207,0.001457,neutron,pi+,solid
562,11.0,0.291166,0.566721,0.423937,3.404056,0.114206,AUT,860016.328796,0.013620,0.013598,0.013552,0.070207,0.001514,neutron,pi+,solid
563,11.0,0.317552,0.516808,0.424091,3.385352,0.107830,AUT,801356.912053,0.014499,0.014508,0.014522,0.070207,0.001562,neutron,pi+,solid
564,11.0,0.349386,0.477186,0.424075,3.439371,0.108168,AUT,777414.649739,0.015354,0.015380,0.015401,0.070207,0.001622,neutron,pi+,solid
